system:index,Avg_Station_Precip_mm,CRS_Projection,Highest_Water_Image_Date,MO_Dadu_Precip_mm,MO_Lasbela_Precip_mm,Month_Index,Non_Water_Area_sqkm,Total_ROI_Area_sqkm,Water_Area_sqkm,Water_Percentage,Year_Month,.geo
0,0.0,EPSG:32642,2018-01-14,0.0,0.0,1.0,1106.7045698836778,1329.9658910965848,223.26132121290692,16.786996020538787,2018-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,8.498152732849121,EPSG:32642,2018-02-03,8.28687334060669,8.709432125091553,2.0,1117.0871561709923,1329.9658910965848,212.8787349255924,16.006330414238626,2018-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5.427870035171509,EPSG:32642,2018-03-05,0.0,10.855740070343018,3.0,1125.9664359835863,1329.9658910965848,203.99945511299853,15.338698268780165,2018-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,6.505029737949371,EPSG:32642,2018-04-14,8.528718709945679,4.481340765953064,4.0,1143.264945244537,1329.9658910965848,186.70094585204768,14.03802511793057,2018-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.170094966888428,EPSG:32642,2018-05-07,4.4762232303619385,5.863966703414917,5.0,1156.3176705786727,1329.9658910965848,173.64822051791202,13.05659202844183,2018-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,10.533443212509155,EPSG:32642,2018-06-03,9.103564262390137,11.963322162628174,6.0,1174.2539045047022,1329.9658910965848,155.71198659188255,11.707968424926655,2018-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,16.043393969535828,EPSG:32642,2018-07-06,12.35081958770752,19.735968351364136,7.0,1185.9704176762693,1329.9658910965848,143.99547342031542,10.827004991954201,2018-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.643992686744838,EPSG:32642,2018-08-07,9.808894647486625,7.479090726003051,8.0,1213.3397041579292,1329.9658910965848,116.6261869386556,8.76911112678949,2018-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,5.470643997192383,EPSG:32642,2018-09-29,0.0,10.941287994384766,9.0,1141.2722480715508,1329.9658910965848,188.693643025034,14.187855815569234,2018-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.4588955640792847,EPSG:32642,2018-10-31,0.0,6.917791128158569,10.0,1108.8305612639592,1329.9658910965848,221.13532983262556,16.627142945019052,2018-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.8479413986206055,EPSG:32642,2018-11-20,1.3768503665924072,2.3190324306488037,11.0,1100.0174218404256,1329.9658910965848,229.94846925615903,17.289802001355213,2018-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.5144897922873497,EPSG:32642,2018-12-25,1.7237351387739182,3.3052444458007812,12.0,1102.438171254089,1329.9658910965848,227.5277198424958,17.107786099303226,2018-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,19.435198068618774,EPSG:32642,2019-01-09,11.840141773223877,27.030254364013672,13.0,1103.267078585632,1329.9658910965848,226.69881251095282,17.045460641402986,2019-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,20.497413396835327,EPSG:32642,2019-02-23,24.47933292388916,16.515493869781494,14.0,1082.430013298318,1329.9658910965848,247.53587779826663,18.612197459753503,2019-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,29.122461080551147,EPSG:32642,2019-03-05,29.720865726470947,28.524056434631348,15.0,1085.9138357584977,1329.9658910965848,244.0520553380871,18.350249203523635,2019-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,11.054628127434626,EPSG:32642,2019-04-04,19.211915061605396,2.8973411932638555,16.0,1098.6086587577954,1329.9658910965848,231.3572323387894,17.395726754167395,2019-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,28.19125360250473,EPSG:32642,2019-05-19,13.34196925163269,43.04053795337677,17.0,1101.5955374704836,1329.9658910965848,228.3703536261013,17.171143647737097,2019-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,16.807631785050035,EPSG:32642,2019-06-03,7.842673767358065,25.772589802742004,18.0,1114.2200854678222,1329.9658910965848,215.74580562876264,16.22190516862622,2019-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,74.93109798431396,EPSG:32642,2019-07-31,80.00583457946777,69.85636138916016,19.0,1115.7549877717354,1329.9658910965848,214.21090332484945,16.10649602060306,2019-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,61.727200508117676,EPSG:32642,2019-08-30,82.23977041244507,41.21463060379028,20.0,1040.5671901278088,1329.9658910965848,289.39870096877587,21.759858873535514,2019-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
